P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11661699.14,13850966.88,18933281.79,-21009608.59,1711267.317,16357585.96,-14392865.22,8424080.074,20807168.36,7270970.973,13101224.81,21919328.95,23588703.17,26227227.39,24688715.1,25565326.45
-11662377.63,13848555.76,18934665.46,-21011384.76,1710180.239,16355481.8,-14393285.33,8421501.699,20807972.05,7268649.979,13102759.7,21919188.69,23588949.63,26227731.21,24689141.54,25564868.03
-11663056.27,13846144.5,18936048.71,-21013160.76,1709093.392,16353377.28,-14393705.59,8418923.25,20808775.3,7266329.09,13104294.72,21919047.96,23589197.69,26228239.56,24689566.15,25564406.2
-11663735.07,13843733.1,18937431.54,-21014936.59,1708006.775,16351272.42,-14394126,8416344.726,20809578.12,7264008.306,13105829.88,21918906.77,23589444.5,26228744.79,24689993.3,25563945.52
-11664414.03,13841321.57,18938813.95,-21016712.25,1706920.39,16349167.21,-14394546.57,8413766.129,20810380.5,7261687.627,13107365.16,21918765.11,23589689.84,26229248.12,24690421.43,25563483.78
-11665093.14,13838909.9,18940195.95,-21018487.75,1705834.236,16347061.66,-14394967.28,8411187.458,20811182.44,7259367.053,13108900.57,21918622.98,23589937.91,26229756.07,24690846.81,25563023.84
-11665772.41,13836498.09,18941577.52,-21020263.07,1704748.312,16344955.76,-14395388.14,8408608.714,20811983.95,7257046.585,13110436.12,21918480.39,23590183.09,26230261.23,24691275.21,25562563.56
-11666451.83,13834086.14,18942958.68,-21022038.23,1703662.62,16342849.51,-14395809.16,8406029.895,20812785.02,7254726.222,13111971.79,21918337.32,23590431.28,26230768.66,24691702.59,25562102.71
-11667131.41,13831674.06,18944339.43,-21023813.22,1702577.158,16340742.92,-14396230.32,8403451.003,20813585.66,7252405.964,13113507.6,21918193.8,23590678.79,26231275.57,24692131.41,25561643.64
-11667811.15,13829261.84,18945719.75,-21025588.03,1701491.927,16338635.98,-14396651.64,8400872.037,20814385.86,7250085.811,13115043.54,21918049.8,23590924.76,26231780.09,24692558.34,25561181.87
-11668491.04,13826849.48,18947099.66,-21027362.68,1700406.927,16336528.69,-14397073.1,8398292.998,20815185.62,7247765.764,13116579.6,21917905.34,23591172.61,26232287.4,24692983.19,25560723.22
-11669171.09,13824436.99,18948479.15,-21029137.16,1699322.158,16334421.06,-14397494.72,8395713.885,20815984.94,7245445.823,13118115.8,21917760.41,23591418.69,26232792.42,24693411.68,25560261.65
-11669849.34,13822026.08,18949863.44,-21030913.58,1698234.734,16332317.41,-14397914.61,8393135.623,20816789.29,7243124.672,13119650.49,21917620.85,23591668.79,26233302.49,24693841.81,25559804.34
-11670525.8,13819616.75,18951252.53,-21032691.94,1697144.652,16330217.75,-14398332.76,8390558.216,20817598.65,7240802.319,13121183.68,21917486.66,23591921.42,26233817.98,24694276.46,25559350.11
-11671202.42,13817207.28,18952641.2,-21034470.13,1696054.802,16328117.75,-14398751.07,8387980.733,20818407.57,7238480.069,13122716.99,21917352,23592174.99,26234331.41,24694707.86,25558896.57
-11671879.19,13814797.67,18954029.46,-21036248.15,1694965.183,16326017.39,-14399169.53,8385403.177,20819216.06,7236157.924,13124250.44,21917216.88,23592425.68,26234846.19,24695139.44,25558443.57
